"","authors","studyid","lnwtp","wtp_original","lnyear","lninc","local","prov","reg","cult","forest","q0","q1","volunt","lumpsum","ce","nrev","median","us","wlfresh","rel_cpi","wtp_2017"
"1","tkac_wtp",126,5.27834072530542,146.98,3.30258509299405,11.5079129231467,1,1,1,0,0,4200,8400,1,0,0,0,0,0,1,1.33381626043975,196.044313959434
"2","trenholm_wtp_30W",127,3.60911278505425,31.56,3.77258872223978,11.3217649595091,1,1,0,0,1,0,5884,0,0,0,0,1,0,1,1.17025572005384,36.9332705248991
"3","trenholm_wtp_60W",127,3.1214638955392,19.38,3.77258872223978,11.3217649595091,1,1,0,0,1,0,11300,0,0,0,0,1,0,1,1.17025572005384,22.6795558546433
"4","trenholm_wtp_30mAll",127,3.36402553271051,24.7,3.77258872223978,11.3217649595091,1,1,0,0,1,0,7408,0,0,0,0,1,0,1,1.17025572005384,28.9053162853297
"5","trenholm_wtp_60mAll",127,2.84506978286127,14.7,3.77258872223978,11.3217649595091,1,1,0,0,1,0,14318,0,0,0,0,1,0,1,1.17025572005384,17.2027590847914
"6","pattisson_wtp_2008l",128,5.82111041200564,295.1,3.83321334405622,11.4658338574364,0,0,1,0,0,949184,1044102,0,0,0,0,0,0,1,1.14315973997517,337.346439266672
"7","pattisson_wtp_80",128,5.84306353494352,301.65,3.83321334405622,11.4658338574364,0,0,1,0,0,949184,1084782,0,0,0,0,0,0,1,1.14315973997517,344.834135563509
"8","pattisson_wtp_83",128,5.86490190036184,308.31,3.83321334405622,11.4658338574364,0,0,1,0,0,949184,1125461,0,0,0,0,0,0,1,1.14315973997517,352.447579431744
"9","pattisson_wtp_89",128,5.90666924919774,321.46,3.83321334405622,11.4658338574364,0,0,1,0,0,949184,1206820,0,0,0,0,0,0,1,1.14315973997517,367.480130012417
"10","pattisson_wtp_100",128,5.98536622601067,347.78,3.83321334405622,11.4658338574364,0,0,1,0,0,949184,1355977,0,0,0,0,0,0,1,1.14315973997517,397.568094368563
"11","lantz_wtp1",129,6.20991396347513,436.63955,3.89037175789616,11.5079129231467,1,0,1,0,0,14520,17520,0,0,0,1,0,0,1,1.13974657733761,497.658432642732
"12","lantz_wtp2",129,6.19772495122913,431.34965,3.89037175789616,11.5079129231467,1,0,1,0,0,14520,18520,0,0,0,1,0,0,1,1.13974657733761,491.629287223274
"13","rudd_wtp1",130,2.53549295719893,11.6,3.99573227355399,11.5079129231467,0,1,1,1,1,1307159,1413412,0,0,1,0,0,0,1,1.08815963289995,12.6226517416394
"14","rudd_wtp2",130,3.23893182379543,23.44,3.99573227355399,11.5079129231467,0,1,1,1,1,1307159,1413412,0,0,1,0,0,0,1,1.08815963289995,25.5064617951749
"15","he_wtp_ce",131,6.23804973441416,482,4.09104245335832,11.3793940723457,1,0,1,0,0,988422,1976843,0,0,1,0,0,0,1,1.0619487040304,511.859275342652
"16","he_wtp_cv",131,6.20214302595091,465,4.09104245335832,11.3793940723457,1,0,1,0,0,988422,1976843,0,0,0,0,0,0,1,1.0619487040304,493.806147374135
"17","vossler_wtp",132,6.76984735956962,836,4.13549421592915,11.3793940723457,0,1,1,1,1,29652645.8,129948359.5,1,0,0,1,0,0,1,1.04208003195952,871.178906718157
"18","johnson_2016",133,4.55115713719727,92.7659574468085,3.25809653802148,11.2424400127469,1,1,1,0,0,4000,4700,0,0,1,1,0,1,1,1.02130109990222,94.7419743739079
"19","johnson_2015",134,2.20836603947886,8.8,3.2188758248682,11.2424400127469,1,1,0,0,1,4000,4700,0,0,1,0,0,1,1,1.034185663,9.1008338344
"20","us",101,5.85687780646749,349.630823033765,2.89,12.2938995444675,1,0,1,1,0,0,2499,0,0,0,0,0,1,1,1,349.630823033765
"21","us",102,3.87920054246749,48.3855174384687,2.197,11.7828942644675,0,1,0,1,0,11374,11407,0,1,1,0,0,1,0,1,48.3855174384687
"22","us",102,4.07670766746749,58.9510634961313,2.197,11.7828942644675,0,1,0,1,0,11343,11407,0,1,1,0,0,1,0,1,58.9510634961313
"23","us",102,4.24125399246749,69.4949433567869,2.197,11.7828942644675,0,1,0,1,0,11306,11407,0,1,1,0,0,1,0,1,69.4949433567869
"24","us",102,4.41533265346749,82.7093498824087,2.197,11.7828942644675,0,1,0,1,0,11272,11407,0,1,1,0,0,1,0,1,82.7093498824087
"25","us",104,1.22098468046749,3.39052467386267,0.693,11.4528891044675,0,0,1,1,0,3468,3968,1,0,0,0,1,1,1,1,3.39052467386267
"26","us",104,2.53903659746749,12.6674612261031,0.693,11.4528891044675,0,0,1,1,1,69580,70080,1,0,0,0,1,1,1,1,12.6674612261031
"27","us",104,2.25459642646749,9.53144589455185,0.693,11.4528891044675,0,0,1,1,1,21716,22216,1,0,0,0,1,1,1,1,9.53144589455185
"28","us",104,3.49013547246749,32.7903896003371,0.693,11.4528891044675,0,0,1,1,1,908,1408,1,0,0,0,1,1,1,1,32.7903896003371
"29","us",106,5.28287770546749,196.935783884255,1.792,11.6048916944675,1,1,1,1,0,10000,13000,0,1,0,1,1,1,1,1,196.935783884255
"30","us",108,5.78046741246749,323.910554871369,3.219,11.8438950444675,0,1,1,0,0,32362,33862,0,1,1,0,0,1,0,1,323.910554871369
"31","us",108,6.98638262146749,1081.8011056328,3.219,11.8438950444675,0,1,1,0,0,522667,524167,0,1,1,0,0,1,0,1,1081.8011056328
"32","us",109,6.04375935946749,421.474534593074,2.565,11.7828942644675,0,1,1,1,0,11404,11407,0,0,1,0,0,1,0,1,421.474534593074
"33","us",109,6.09999408546749,445.85513305004,2.565,11.7828942644675,0,1,1,1,0,11402,11407,0,0,1,0,0,1,0,1,445.85513305004
"34","us",109,6.14818503846749,467.867454286494,2.565,11.7828942644675,0,1,1,1,0,11400,11407,0,0,1,0,0,1,0,1,467.867454286494
"35","us",109,6.20038177946749,492.937198474799,2.565,11.7828942644675,0,1,1,1,0,11398,11407,0,0,1,0,0,1,0,1,492.937198474799
"36","us",109,6.28166850146749,534.680034414262,2.565,11.7828942644675,0,1,1,1,0,11395,11407,0,0,1,0,0,1,0,1,534.680034414262
"37","us",110,7.08453938246749,1193.37342015071,3.045,11.5368905844675,0,1,1,1,0,1381022,1829022,0,0,0,0,0,1,0,1,1193.37342015071
"38","us",113,4.74539326046749,115.053042420829,1.792,11.8228947844675,0,0,1,0,1,219890,220000,0,1,0,1,0,1,1,1,115.053042420829
"39","us",114,2.67624949546749,14.5304942882807,2.485,12.1318981544675,1,0,0,1,1,5838,5867,0,1,1,0,0,1,1,1,14.5304942882807
"40","us",114,2.99178456946749,19.9212015570729,2.485,12.1318981544675,1,0,0,1,1,5822,5867,0,1,1,0,0,1,1,1,19.9212015570729
"41","us",114,3.27244918146749,26.3758595665859,2.485,12.1318981544675,1,0,0,1,1,5807,5867,0,1,1,0,0,1,1,1,26.3758595665859
"42","us",115,6.14718115346749,467.3980048432,0.693,11.8248948144675,0,0,0,1,0,27000,85000,0,0,0,0,0,1,1,1,467.3980048432
"43","us",115,6.64971174846749,772.561601370849,0.693,11.8248948144675,0,0,0,1,0,85000,125000,0,0,0,0,0,1,1,1,772.561601370849
"44","us",116,8.15754011646749,3489.5920472809,3.135,11.7318935744675,0,1,1,0,0,2131000,2382000,0,1,0,1,0,1,0,1,3489.5920472809
"45","us",116,7.50205834746749,1811.76782676215,3.135,11.7318935744675,0,1,1,0,0,2131000,2382000,0,1,1,0,0,1,0,1,1811.76782676215
"46","us",117,4.42861632046749,83.8153630357571,2.079,11.5728911844675,0,0,0,0,0,34000,50000,0,0,0,0,0,1,1,1,83.8153630357571
"47","us",117,4.30687338346749,74.2081055531165,2.079,11.5728911844675,0,0,0,0,0,34000,75000,0,0,0,0,0,1,1,1,74.2081055531165
"48","us",117,4.43270284646749,84.1585774957782,2.079,11.5728911844675,0,0,0,0,0,34000,1e+05,0,0,0,0,0,1,1,1,84.1585774957782
"49","us",119,4.87021915246749,130.349480176705,2.833,11.7978944644675,1,0,0,1,0,9000,10125,1,1,0,0,1,1,1,1,130.349480176705
"50","us",120,3.47429777346749,32.2751561059927,0,11.7498938244675,0,1,1,1,1,36000,41000,1,0,0,0,1,1,1,1,32.2751561059927
"51","us",122,5.27278498646749,194.958162929925,1.609,11.8768954544675,1,0,0,0,0,212378,212708,0,0,0,0,0,1,1,1,194.958162929925
"52","us",124,5.69698189346749,297.966747130131,3.296,12.2258989944675,0,0,1,1,0,23860,24860,0,0,1,1,0,1,0,1,297.966747130131
"53","us",124,5.78247861846749,324.562661263122,3.296,12.2258989944675,0,0,1,1,0,23860,26860,0,0,1,1,0,1,0,1,324.562661263122
"54","us",124,5.86391405246749,352.099586742756,3.296,12.2258989944675,0,0,1,1,0,23860,28860,0,0,1,1,0,1,0,1,352.099586742756
"55","us",125,4.15496052646749,63.7494480822351,1.386,11.8838955344675,0,1,1,1,1,6000,8500,1,1,0,1,0,1,1,1,63.7494480822351
"56","us",125,3.86674715146749,47.7866901255762,1.386,11.8518951444675,0,1,1,1,1,6000,8500,1,1,0,1,0,1,1,1,47.7866901255762
"57","us",125,4.05711634746749,57.8073741197682,1.386,11.8978957044675,0,1,1,1,1,6000,8500,1,1,0,1,0,1,1,1,57.8073741197682
