"","PHJV Target Landscape","q0","q1","rm","num_hhphvjmedianimput","av_hhszphvj","num_hhcan","hhsz_can","hhoutsidephjv","province","phjvloc","numhh_phjv","numhh_outsidephjv","avhhsize","lumpsum","local","forest","us","volunt","nrev","lninc","prov","reg","cult","ce","lnyear","lnq0","lnq_change","studyid"
"1","Allan Hills",48826,46432,"313",70,2.4,432620,2.5,1070395,"0","Allan Hills",70,1070395,2.4,0.06,1,0,0,0.17,0.89,11.5861759267098,1,1,1,0.17,3.29583686600433,10.7960182368459,7.78072088611792,130
"2","Boundary Plateau",76681,73980,"frontier 19",90,2.3,432620,2.5,1070340,"0","Boundary Plateau",90,1070340,2.3,0.06,1,0,0,0.17,0.89,11.5861759267098,1,1,1,0.17,3.29583686600433,11.2474092382848,7.90137735379262,130
"3","Cactus Lake",143186,137595,"352",95,2.7,432620,2.5,1070318,"0","Cactus Lake",95,1070318,2.7,0.06,1,0,0,0.17,0.89,11.5861759267098,1,1,1,0.17,3.29583686600433,11.8718997633662,8.62891344102665,130
"4","Conjuring Creek",81565,78267,"305",130,2.5,432620,2.5,1070235,"0","Conjuring Creek",130,1070235,2.5,0.06,1,0,0,0.17,0.89,11.5861759267098,1,1,1,0.17,3.29583686600433,11.3091555273704,8.10107150311954,130
"5","Coteau Central",190436,184532,"255",185,2.6,432620,2.5,1070085,"0","Coteau Central",185,1070085,2.6,0.06,1,0,0,0.17,0.89,11.5861759267098,1,1,1,0.17,3.29583686600433,12.1570714590971,8.68338536628031,130
"6","Coteau North",34124,33103,"255",185,2.6,432620,2.5,1070085,"0","Coteau North",185,1070085,2.6,0.06,1,0,0,0.17,0.89,11.5861759267098,1,1,1,0.17,3.29583686600433,10.4377562280286,6.92853781816467,130
"7","Coteau South",240073,231706,"255",185,2.6,432620,2.5,1070085,"0","Coteau South",185,1070085,2.6,0.06,1,0,0,0.17,0.89,11.5861759267098,1,1,1,0.17,3.29583686600433,12.3886983227415,9.0320506762956,130
"8","Dana Hills",209561,200913,"37",155,2.7,432620,2.5,1070264,"0","Dana Hills",155,1070264,2.7,0.06,1,0,0,0.17,0.89,11.5861759267098,1,1,1,0.17,3.29583686600433,12.2527701454138,9.06508335931904,130
"9","Fox Valley",21228,20300,"171",70,2.6,432620,2.5,1070375,"0","Fox Valley",70,1070375,2.6,0.06,1,0,0,0.17,0.89,11.5861759267098,1,1,1,0.17,3.29583686600433,9.96307634394778,6.8330317327862,130
"10","Hillmond",38324,37229,"502",740,2.5,432620,2.5,1068410,"0","Hillmond",740,1068410,2.5,0.06,1,0,0,0.17,0.89,11.5861759267098,1,1,1,0.17,3.29583686600433,10.5538316107708,6.9985096422506,130
"11","Lenore/Ponass",172663,165720,"399",215,2.7,432620,2.5,1069975,"0","Lenore/Ponass",215,1069975,2.7,0.06,1,0,0,0.17,0.89,11.5861759267098,1,1,1,0.17,3.29583686600433,12.0590969968268,8.84548923675327,130
"12","Lightning",375054,358848,NA,185,NA,432620,2.5,1070227,"0","Lightning",185,1070227,NA,0.06,1,0,0,0.17,0.89,11.5861759267098,1,1,1,0.17,3.29583686600433,12.8348252945855,9.69313682302067,130
"13","Pheasant Hills",71270,67961,NA,185,NA,432620,2.5,1070227,"0","Pheasant Hills",185,1070227,NA,0.06,1,0,0,0.17,0.89,11.5861759267098,1,1,1,0.17,3.29583686600433,11.1742307604959,8.10440130792161,130
"14","Prince Albert",59432,57188,"461",1055,2.6,432620,2.5,1067785,"0","Prince Albert",1055,1067785,2.6,0.06,1,0,0,0.17,0.89,11.5861759267098,1,1,1,0.17,3.29583686600433,10.9925880808316,7.71601526664259,130
"15","Quill South",136640,131632,"338",325,2.3,432620,2.5,1070235,"0","Quill South",325,1070235,2.3,0.06,1,0,0,0.17,0.89,11.5861759267098,1,1,1,0.17,3.29583686600433,11.8251050090224,8.51879191277993,130
"16","Regina East",108427,103717,"159",310,3.7,432620,2.5,1070090,"0","Regina East",310,1070090,3.7,0.06,1,0,0,0.17,0.89,11.5861759267098,1,1,1,0.17,3.29583686600433,11.5938324144638,8.45744318701046,130
"17","Touchwood/Beaver",288800,275899,"248",130,2.6,432620,2.5,1070220,"0","Touchwood/Beaver",130,1070220,2.6,0.06,1,0,0,0.17,0.89,11.5861759267098,1,1,1,0.17,3.29583686600433,12.5734896860008,9.46506010672514,130
"18","Thickwood",112990,109647,NA,185,NA,432620,2.5,1070228,"0","Thickwood",185,1070228,NA,0.06,1,0,0,0.17,0.89,11.5861759267098,1,1,1,0.17,3.29583686600433,11.6350545982033,8.1146238864201,130
"19","Tramping Lake East",159056,153956,"380",80,2.2,432620,2.5,1070375,"0","Tramping Lake East",80,1070375,2.2,0.06,1,0,0,0.17,0.89,11.5861759267098,1,1,1,0.17,3.29583686600433,11.9770116204519,8.53699581871242,130
"20","Upper Assiniboine",247648,237024,"181 & 211",460,2.6,432620,2.5,1070227,"0","Upper Assiniboine",460,1070227,2.6,0.06,1,0,0,0.17,0.89,11.5861759267098,1,1,1,0.17,3.29583686600433,12.4197636620702,9.27087087171621,130
"21","Virden",59231,56992,NA,185,NA,432620,2.5,1070227,"0","Virden",185,1070227,NA,0.06,1,0,0,0.17,0.89,11.5861759267098,1,1,1,0.17,3.29583686600433,10.9892003324646,7.71378461659875,130
"22","Saskatchewan",2875215,2762641,NA,432625,2.6,NA,2.5,427400,"sk","Saskatchewan",432625,427400,2.6,0.06,0,0,0,0.17,0.89,11.5861759267098,1,1,1,0.17,3.29583686600433,14.8716380120262,11.6313660621634,130
"23","Alberta",1354106,1325854,NA,1527675,2.6,NA,2.5,1523265,"ab","Alberta",1527675,1523265,2.6,0.06,0,0,0,0.17,0.89,11.4197130832481,1,1,1,0.17,3.29583686600433,14.1186520159485,10.2489195305288,130
"24","Manitoba",351490,339756,NA,489050,2.6,NA,2.5,484237,"ma","Manitoba",489050,484237,2.6,0.06,0,0,0,0.17,0.89,11.390757830996,1,1,1,0.17,3.29583686600433,12.769936540326,9.3702458894858,130
