authors,studyid,wtp_original,lnyear,lninc,local,prov,reg,cult,forest,q0,q1,volunt,lumpsum,ce,nrev,median,us,wlfresh,lnwtp,lnq0,lnq_change,lnwtp2,id_study,meanlnwtp
tkac_wtp,126,146.98,2.397895273,11.04292123,1,1,1,0,0,4200,8400,1,0,0,0,0,0,1,4.990296523,8.343077871,8.342839804,-3.352543281,126,4.113324215
trenholm_wtp_30W,127,31.56,2.833213344,11.28742213,1,1,0,0,1,0,5884,0,0,0,0,1,0,1,3.451890496,0,8.679992082,-5.228101586,127,4.113324215
trenholm_wtp_60W,127,19.38,2.833213344,11.28742213,1,1,0,0,1,0,11300,0,0,0,0,1,0,1,2.964241606,0,9.332558005,-6.368316398,127,4.113324215
trenholm_wtp_30mAll,127,24.7,2.833213344,11.28742213,1,1,0,0,1,0,7408,0,0,0,0,1,0,1,3.206803244,0,8.910315776,-5.703512533,127,4.113324215
trenholm_wtp_60mAll,127,14.7,2.833213344,11.28742213,1,1,0,0,1,0,14318,0,0,0,0,1,0,1,2.687847494,0,9.569272766,-6.881425272,127,4.113324215
pattisson_wtp_2008l,128,295.1,2.890371758,11.09333636,0,0,1,0,0,949184,1044102,0,0,0,0,0,0,1,5.687314282,13.763359,11.46076864,-5.773454358,128,4.113324215
pattisson_wtp_80,128,301.65,2.890371758,11.09333636,0,0,1,0,0,949184,1084782,0,0,0,0,0,0,1,5.709267405,13.763359,11.81744991,-6.1081825,128,4.113324215
pattisson_wtp_83,128,308.31,2.890371758,11.09333636,0,0,1,0,0,949184,1125461,0,0,0,0,0,0,1,5.73110577,13.763359,12.0798119,-6.34870613,128,4.113324215
pattisson_wtp_89,128,321.46,2.890371758,11.09333636,0,0,1,0,0,949184,1206820,0,0,0,0,0,0,1,5.772873119,13.763359,12.45930302,-6.686429896,128,4.113324215
pattisson_wtp_100,128,347.78,2.890371758,11.09333636,0,0,1,0,0,949184,1355977,0,0,0,0,0,0,1,5.851570096,13.763359,12.91605974,-7.06448964,128,4.113324215
lantz_wtp1,129,436.63955,2.944438979,11.5305627,1,0,1,0,0,14520,17520,0,0,0,1,0,0,1,6.079108026,9.583351157,8.006367568,-1.927259541,129,4.113324215
lantz_wtp2,129,431.34965,2.944438979,11.5305627,1,0,1,0,0,14520,18520,0,0,0,1,0,0,1,6.066919014,9.583351157,8.29404964,-2.227130626,129,4.113324215
he_wtp_ce,131,482,3.135494216,10.98086886,1,0,1,0,0,988422,1976843,0,0,1,0,0,0,1,6.177944114,13.80386602,13.803864,-7.625919885,131,4.113324215
he_wtp_cv,131,465,3.135494216,10.98086886,1,0,1,0,0,988422,1976843,0,0,0,0,0,0,1,6.142037406,13.80386602,13.803864,-7.661826594,131,4.113324215
vossler_wtp,132,836,3.17805383,10.91054367,0,1,1,1,1,168000,420000,1,0,0,1,0,0,1,6.728628613,12.03172521,12.43718437,-5.708555753,132,4.113324215
dina_wtp,133,62.4,2.564949357,10.7028216,0,0,0,0,1,0,555975,1,0,0,0,0,0,1,4.133565275,0,13.22847861,-9.094913333,133,4.113324215
trenholm_wtp_30W,127,31.56,2.833213344,11.28742213,1,1,0,0,1,0,5884,0,0,0,0,1,0,1,3.451890496,0,8.679992082,-5.228101586,127,4.113324215
pattisson_wtp_2008l,128,295.1,2.890371758,11.09333636,0,0,1,0,0,949184,1044102,0,0,0,0,0,0,1,5.687314282,13.763359,11.46076864,-5.773454358,128,4.113324215
lantz_wtp2,129,431.34965,2.944438979,11.5305627,1,0,1,0,0,14520,18520,0,0,0,1,0,0,1,6.066919014,9.583351157,8.29404964,-2.227130626,129,4.113324215
he_wtp_cv,131,465,3.135494216,10.98086886,1,0,1,0,0,988422,1976843,0,0,0,0,0,0,1,6.142037406,13.80386602,13.803864,-7.661826594,131,4.113324215
trenholm_wtp_30mAll,127,24.7,2.833213344,11.28742213,1,1,0,0,1,0,7408,0,0,0,0,1,0,1,3.206803244,0,8.910315776,-5.703512533,127,4.113324215
pattisson_wtp_80,128,301.65,2.890371758,11.09333636,0,0,1,0,0,949184,1084782,0,0,0,0,0,0,1,5.709267405,13.763359,11.81744991,-6.1081825,128,4.113324215
tkac_wtp,126,146.98,2.397895273,11.04292123,1,1,1,0,0,4200,8400,1,0,0,0,0,0,1,4.990296523,8.343077871,8.342839804,-3.352543281,126,4.113324215
dina_wtp,133,62.4,2.564949357,10.7028216,0,0,0,0,1,0,555975,1,0,0,0,0,0,1,4.133565275,0,13.22847861,-9.094913333,133,4.113324215
vossler_wtp,132,836,3.17805383,10.91054367,0,1,1,1,1,168000,420000,1,0,0,1,0,0,1,6.728628613,12.03172521,12.43718437,-5.708555753,132,4.113324215
