phjv_loc,phjv_wtp,acre_change,phjv_hhsz,,,,,,,outsidephjv_hhsz,,province,,phjv_fit
Allan Hills,4.635723366,2394,70,,,,,,,1070395,,0,,1.533792253
Boundary Plateau,4.955344005,2701,90,,,,,,,1070340,,0,,1.600466591
Cactus Lake,7.050453915,5591,95,,,,,,,1070318,,0,,1.953092
Conjuring Creek,5.444858531,3298,130,,,,,,,1070235,,0,,1.694671775
Coteau Central,7.279850081,5904,185,,,,,,,1070085,,0,,1.985110269
Coteau North,3.094247449,1021,185,,,,,,,1070085,,0,,1.129544726
Coteau South,8.606425745,8367,185,,,,,,,1070085,,0,,2.152509104
Dana Hills,8.71154688,8648,155,,,,,,,1070264,,0,,2.164649373
Fox Valley,2.927073661,928,70,,,,,,,1070375,,0,,1.074003173
Hillmond,3.205213037,1095,740,,,,,,,1068410,,0,,1.164778558
Lenore/Ponass,7.831025375,6943,215,,,,,,,1069975,,0,,2.058093456
Lightning,11.82326359,16206,185,,,,,,,1070227,,0,,2.470069082
Pheasant Hills,5.435979859,3309,185,,,,,,,1070227,,0,,1.693039791
Prince Albert,4.519356733,2244,1055,,,,,,,1067785,,0,,1.508369668
Quill South,6.691527825,5008,325,,,,,,,1070235,,0,,1.900842223
Regina East,6.468211803,4710,310,,,,,,,1070090,,0,,1.866899687
Touchwood/Beaver,10.56957215,12901,130,,,,,,,1070220,,0,,2.357979322
Thickwood,5.521468626,3343,185,,,,,,,1070228,,0,,1.70864388
Tramping Lake East,6.772537812,5100,80,,,,,,,1070375,,0,,1.912875878
Upper Assiniboine,9.623077415,10624,460,,,,,,,1070227,,0,,2.264164111
Virden,4.514316562,2239,185,,,,,,,1070227,,0,,1.507253805
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Saskatchewan,7.178501906,112574,432625,,,,,,,427400,,sk,,1.971090713
Alberta,2.961938574,28252,1527675,,,,,,,1523265,,ab,,1.085843977
Manitoba,1.834460201,11734,489050,,,,,,,484237,,ma,,0.60675027
