PHJV Target Landscape,q0,q1,rm,rm pop
Allan Hills,48826,46432,313,242
Boundary Plateau,76681,73980,frontier 19,326
Cactus Lake,143186,137595,352,244
Conjuring Creek,81565,78267,305,325
Coteau Central,190436,184532,255,475
Coteau North,34124,33103,255,475
Coteau South,240073,231706,255,475
Dana Hills,209561,200913,37,467
Fox Valley,21228,20300,171,330
Hillmond,38324,37229,502,2153
Lenore/Ponass,172663,165720,399,587
Lightning,375054,358848,,
Pheasant Hills,71270,67961,,365
Prince Albert,59432,57188,461,35926
Quill South,136640,131632,338,415
Regina East,108427,103717,159,974
Thickwood,112990,109647,,
Touchwood/Beaver,288800,275899,248,343
Tramping Lake East,159056,153956,380,375
Upper Assiniboine,247648,237024,,
Virden Sask,59231,56992,,
Arrowwood,38180,37178,,
,,,,
